issue_id,issue_type,file,line,observed_form,canonical_term,suggested_replacement,alternatives,default_action,decision,custom_replacement,scope,notes,context
T0027,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter07.tex,299,constituent,,,,keep,pending,,this_occurrence,,"... subsection{Constituency and dependency} \label{sec:7:constituency-dependency} The same logic applies to rival syntactic formalisms. Phrase-structure grammars, like \textit{CGEL}'s, represent sentences as hierarchies of \term{[[constituent]]}s~-- noun phrases, verb phrases, clauses nested inside each other. Dependency grammars, like \citeauthor{gibson2025}'s (\citeyear{gibson2025}), represent sentences as networks of \term{dependency relation}s~-- subject-of ..."
T0028,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter07.tex,299,dependency relation,,,,keep,pending,,this_occurrence,,"... nces as hierarchies of \term{constituent}s~-- noun phrases, verb phrases, clauses nested inside each other. Dependency grammars, like \citeauthor{gibson2025}'s (\citeyear{gibson2025}), represent sentences as networks of \term{[[dependency relation]]}s~-- subject-of, object-of, modifier-of~-- linking words directly without intermediate phrasal nodes. The rivalry is old, but the maintenance view dissolves the \enquote{which is \emph{real}?} framing. Both formalisms t ..."
T0029,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter07.tex,309,poetic naturalism,,,,keep,pending,,this_occurrence,,"... s sentence hard?} needs dependency. Neither formalism is epiphenomenal; each tracks mechanisms relevant to its questions. The debate is dissolved, not decided. This fits naturally with what \textcite{carroll2016} calls \term{[[poetic naturalism]]}: a sparse naturalistic metaphysics paired with a permission structure for higher-level vocabularies. Poetic naturalism tells you when it's licit to treat a vocabulary as tracking something real~-- when the description c ..."
T0030,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter07.tex,332,Proper name,proper name,proper name,,replace_with_canonical,pending,,this_occurrence,,"... esn't project for grammatical inferences. The same extension~-- red things, warm-coloured things~-- supports robust categorisation in one domain and fails to support it in another. This extends the proper-name pattern. \term{[[Proper name]]} projects for semantic purposes; \term{proper noun} projects for syntactic purposes. \term{Warm-coloured} projects for ecological purposes; nothing projects it for grammatical purposes~-- so nothing grammaticalises. The ..."
T0031,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter07.tex,332,Warm-coloured,,,,keep,pending,,this_occurrence,,... ports robust categorisation in one domain and fails to support it in another. This extends the proper-name pattern. \term{Proper name} projects for semantic purposes; \term{proper noun} projects for syntactic purposes. \term{[[Warm-coloured]]} projects for ecological purposes; nothing projects it for grammatical purposes~-- so nothing grammaticalises. The framework doesn't multiply categories recklessly; it asks what cluster of properties is maintained by wha ...
T0032,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter07.tex,342,Definiteness,definiteness,definiteness,,replace_with_canonical,pending,,this_occurrence,,"... ers are maintained by different mechanisms and project for different analytical purposes. Chapter~\ref{ch:definiteness-and-deitality} shows that definiteness and deitality are distinct HPCs with overlapping extensions. \term{[[Definiteness]]}~-- identifiability, uniqueness, familiarity~-- projects for semantic purposes. \term{Deitality}~-- the morphosyntactic properties that pattern with definite articles~-- projects for syntactic purposes. The literature's ..."
T0033,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter07.tex,342,Deitality,deitality,deitality,,replace_with_canonical,pending,,this_occurrence,,"... \ref{ch:definiteness-and-deitality} shows that definiteness and deitality are distinct HPCs with overlapping extensions. \term{Definiteness}~-- identifiability, uniqueness, familiarity~-- projects for semantic purposes. \term{[[Deitality]]}~-- the morphosyntactic properties that pattern with definite articles~-- projects for syntactic purposes. The literature's confusion about \enquote{weak definites} and \enquote{generic definites} arises from treating th ..."
T0034,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter07.tex,387,Green,,,,keep,pending,,this_occurrence,,"... rcle. A habit isn't self-grounding; it's sustained by something. The stream's habit of flowing in a particular channel persists not because it has flowed there before but because water, gravity, and geology maintain it. \term{[[Green]]} is projectible not because it has been projected (Goodman's bootstrap) but because mechanisms sustain the would-be: chromium traces interact with light in stable ways; a visual system tuned by selection detects the refl ..."
T0035,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter07.tex,389,Noun,noun,noun,,replace_with_canonical,pending,,this_occurrence,,"... s that would make them switch from green to blue at time $t$. Projectibility tracks mechanism, not predicational habit. Goodman saw the habit but not what sustains it. For linguistic categories, the same logic applies. \term{[[Noun]]} is projectible because mechanisms like acquisition, entrenchment, and functional pressure keep nominal properties clustering together. A pseudo-category like \mention{nerboun} (noun if acquired before age 5, verb otherw ..."
T0036,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,136,English Morphosyntax,,,,keep,pending,,this_occurrence,,"... \subsection{The grain question} One more trap before the case studies: the problem of grain. Even when we have genuine HPCs, we often group them into larger systems labelled \enquote{Grammar} or \enquote{Language.} Is \term{[[English Morphosyntax]]} an HPC kind? The temptation is to say yes. It's stable, it's learned, it's maintained. But this is the \term{Madagascar fallacy}. Biological species are the paradigmatic HPC kinds. \textit{Lemur catta} (the ring-tailed ..."
T0037,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,140,English,,,,keep,pending,,this_occurrence,,"... he components~-- constructions, lexemes, phoneme contrasts, sometimes families or paradigms~-- not the grammar as a whole. The failure modes below apply at that level: we ask whether \term{adverb} is a kind, not whether \term{[[English]]} is. Section~\ref{sec:8:grain} returns to this question; for now, the point is that grain matters. A category can be too thin, too fat, too negative~-- or simply at the wrong level of analysis. \section{Thin clustering ..."
T0038,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,148,thin,,,,keep,pending,,this_occurrence,,"... tters. A category can be too [[thin]], too fat, too negative~-- or simply at the wrong level of analysis. \section{Thin clustering: The smoke ring} \label{sec:8:thin} The first pattern is the class that barely exists. A \term{thin} class is one where the signal exists~-- speakers recognize it, linguists name it~-- but the property cluster is ghostly. There is no robust homeostatic loop maintaining it. It's a \enquote{smoke ring}: it has structure, ..."
T0039,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,197,fat,,,,keep,pending,,this_occurrence,,"... s. We have a label without a kind. \section{Fat clustering: The wastebasket} \label{sec:8:[[fat]]} The second pattern is the opposite of thinness: not too little mechanism, but too many pulling in different directions. A \term{fat} class is a label that lumps distinct causal clusters into a single bin. The analyst treats them as one~-- usually for \enquote{wastebasket} reasons, where the class is defined residually: \enquote{everything that isn't ..."
T0040,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,205,Adverb,adverb,adverb,,replace_with_canonical,pending,,this_occurrence,,"... re robust than their neuroscientific counterparts~-- but the fat-class failure mode remains a live possibility wherever the label's institutional momentum outpaces its mechanistic grounding. \subsection{Case study: The \term{[[Adverb]]}} Try this: \mention{She ran quickly.} Now try: *\mention{She ran very.} \mention{Very} has never gone jogging. Both \mention{quickly} and \mention{very} are adverbs~-- the same part of speech, according to every gramma ..."
T0041,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,209,Adverb,adverb,adverb,,replace_with_canonical,pending,,this_occurrence,,"... ly} and \mention{very} are adverbs~-- the same part of speech, according to every grammar textbook. Yet one sentence is grammatical and the other isn't. What went wrong? The answer reveals everything about fat classes. \term{[[Adverb]]} doesn't name a natural kind; it names a filing cabinet where grammarians store everything that modifies but isn't an adjective. The items in the drawer have almost nothing in common~-- and when we try to generalise acro ..."
T0042,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,233,Adverb,adverb,adverb,,replace_with_canonical,pending,,this_occurrence,,"... rything. If you need every word to belong to exactly one part of speech, and you've already defined noun, verb, adjective, preposition, determiner, and conjunction, then \enquote{everything left over} must go somewhere. \term{[[Adverb]]} is that somewhere. The label groups items that are \enquote{close} only in the analyst's filing system. In terms of the mechanisms that maintain them, manner adverbs and degree words are far apart. The label is a conven ..."
T0043,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,235,Adverb,adverb,adverb,,replace_with_canonical,pending,,this_occurrence,,"... In terms of the mechanisms that maintain them, manner adverbs and degree words are far apart. The label is a convenience, not a kind. The maintenance view gives clear guidance when you diagnose a fat class: decompose. \term{[[Adverb]]} isn't an HPC. But the genuine clusters lurking inside it~-- the cluster around \mention{quickly}, the cluster around \mention{very}, the cluster around \mention{thus}, each maintained by its own braid of mechanisms~-- m ..."
T0044,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,251,Adverb,adverb,adverb,,replace_with_canonical,pending,,this_occurrence,,"... each for the category with the weakest positive profile: the one defined largely by exclusion, the one designed to mop up words that are neither nominal, verbal, adjectival, nor prepositional in their most typical uses. \term{[[Adverb]]} is, in this sense, the grammar's \enquote{default box} for items that refuse a clean fit. Seen this way, \mention{otherwise} isn't a quirky edge case that embarrasses an otherwise sound taxonomy. it's a demonstration c ..."
T0045,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,260,negative,,,,keep,pending,,this_occurrence,,"... basket category makes when you ask it to behave like a kind. \section{Negative classes: The complement class} \label{sec:8:[[negative]]} The third pattern is the most categorical: the category defined by what it isn't. A \term{negative} class is a complement class: \enquote{everything that isn't X.} In set theory, complements are well-behaved~-- the complement of a set is precisely defined. In causal mechanism terms, they're incoherent. There is no suc ..."
T0046,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,279,negative class,,,,keep,pending,,this_occurrence,,... ibiting extraction from the left branch of an NP. But look for the mechanism. Is there a \enquote{Left Branch Guard} in the parser? A specific genetic instruction? The HPC view suggests a different diagnosis: this is a \term{[[negative class]]}~-- a gap of abstinence. English speakers don't have a rule against (\ref{ex:lbe-b}); they simply have a massive prior probability of zero for it because they never encounter it. Why is the gap so stable? \textcite{reyn ...
T0047,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,281,competitor strategies,,,,keep,pending,,this_occurrence,,"... rule against (\ref{ex:lbe-b}); they simply have a massive prior probability of zero for it because they never encounter it. Why is the gap so stable? \textcite{reynolds2026lbe} argues it's maintained by the density of \term{[[competitor strategies]]} (what we might call \enquote{workarounds}).\footnote{The Python scripts for the analyses in this book are available at \url{https://github.com/BrettRey/hpc-book/tree/main/code}.} If you want to question a possessor, you ..."
T0048,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,329,participial adjunct,,,,keep,pending,,this_occurrence,,"... ans recognizing that the term is a taxonomic convenience, not a natural kind. The genuine HPCs are the specific constructions: \term{infinitival complement}, \term{perfect construction}, \term{progressive construction}, \term{[[participial adjunct]]}. Each has its own cluster, its own mechanisms, its own projectibility. The umbrella term names a residual class, not a causal unity. \section{The grain of analysis} \label{sec:8:grain} The grain question previewed in ..."
T0049,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,363,Adverb,adverb,adverb,,replace_with_canonical,pending,,this_occurrence,,"... set aside. Thin patterns don't need theoretical treatment because they lack the causal structure that would make treatment meaningful. Document them, but don't reify them. \textbf{When you diagnose fatness:} Decompose. \term{[[Adverb]]} isn't a kind; the clusters inside it~-- around \mention{quickly}, around \mention{very}, around \mention{thus}~-- might be, each maintained by its own mechanism braid. The genuine HPCs are lurking inside the wastebasket ..."
T0050,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,371,Subject,subject,subject,,replace_with_canonical,pending,,this_occurrence,,"... ually have mechanisms to maintain them. The negative label organizes your files; it doesn't track causal structure. \subsection{For typology} The framework reframes cross-linguistic comparison. We stop asking whether \term{[[Subject]]} is a universal category~-- a question that invites endless definitional dispute. Instead, we ask: is the category \term{Subject} in Language $L$ maintained by the same mechanisms as in Language $M$? Usually, the answer ..."
T0051,normalized_variant,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,371,Subject,subject,subject,,replace_with_canonical,pending,,this_occurrence,,"... For typology} The framework reframes cross-linguistic comparison. We stop asking whether \term{[[Subject]]} is a universal category~-- a question that invites endless definitional dispute. Instead, we ask: is the category \term{Subject} in Language $L$ maintained by the same mechanisms as in Language $M$? Usually, the answer is no. English subjects are maintained by agreement morphology, fixed word order, and nominative case marking. Tagalog \enquote{ ..."
T0052,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,377,descriptive categories,,,,keep,pending,,this_occurrence,,"... f the kind, and to test cross-linguistic identity, you need to show shared mechanisms, not just shared features. \citet{haspelmath2010} makes a related point with his distinction between \term{comparative concept}s and \term{[[descriptive categories]]}. Comparative concepts are analyst's tools~-- definitions constructed for cross-linguistic comparison. Descriptive categories are language-specific~-- the actual clusters maintained in particular speech communities. The ..."
T0053,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter08.tex,379,naturalised,,,,keep,pending,,this_occurrence,,"... -- but only if they pass the diagnostics in that particular language. Cross-linguistic \enquote{sameness} is a claim about convergent mechanisms, not shared essence. That said, some \term{comparative concept}s may earn \term{[[naturalised]]} status when independent languages converge on similar patterns through similar mechanisms~-- the way camera eyes evolved independently in vertebrates and cephalopods. Naturalization is defeasible: it requires explicit m ..."
T0054,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter09.tex,55,edge detection,,,,keep,pending,,this_occurrence,,"... er} Descriptively, the cluster looks like a set of logical entailments. Explanatorily, it's maintained by perceptual and cognitive mechanisms that operate across modalities~-- and, strikingly, across species. Consider \term{[[edge detection]]}. Visual object perception depends on detecting boundaries. The visual cortex uses orientation-selective cells, Gabor-like filters, and mid-level grouping principles to extract edges from the visual field. These edges ar ..."
T0055,unknown_term,/Users/brettreynolds/Documents/LLM-CLI-projects/papers/HPC book/chapters/chapter09.tex,55,object files,,,,keep,pending,,this_occurrence,,"... tation-selective cells, Gabor-like filters, and mid-level grouping principles to extract edges from the visual field. These edges are then grouped into coherent object representations~-- what \citet{kahneman1992} called \term{[[object files]]}: temporary episodic representations that bind features to locations and track objects across time. But edge detection isn't vision-specific. Blind echolocators produce tongue clicks and interpret the returning echoes t ..."
